ObjectId,Crash_Seve,Crash_Date,Crash_Year,Crash_Time,Weather,Fatalities,Injured,Property_D,Injury_Typ,Crash_Type,Total_Vehi,Agency,Accident_R,Pedalcycli,Pedestrian,Motorcycli,SQ_MILES
5638200,INJURY CRASH,2015/04/07 00:00:00+00,2015,2026/08/30 13:53:00+00,CLEAR,0,3,,C,ANGLE,3,LVMPD,2133200,,,YES,19.86803553
5638201,PROPERTY DAMAGE ONLY,2015/03/21 00:00:00+00,2015,2026/08/30 13:24:00+00,CLEAR,0,0,PDO,,ANGLE,2,LVMPD,2132617,,,,14.22795101
5638202,INJURY CRASH,2015/02/17 00:00:00+00,2015,2026/08/30 13:38:00+00,CLEAR,0,2,,B,ANGLE,2,LVMPD,2131509,,,,17.10932924
5638203,INJURY CRASH,2015/03/20 00:00:00+00,2015,2026/08/30 22:11:00+00,CLEAR,0,3,,C,REAR-END,2,LVMPD,2132600,,,,17.10932924
5638204,INJURY CRASH,2015/03/15 00:00:00+00,2015,2026/08/30 08:00:00+00,CLEAR,0,1,,C,ANGLE,2,LVMPD,2132401,,,,17.10932924
5638205,PROPERTY DAMAGE ONLY,2015/07/04 00:00:00+00,2015,2026/08/30 04:04:00+00,CLEAR,0,0,PDO,,NON-COLLISION,1,LVMPD,2154383,,,,14.22795101
5638206,INJURY CRASH,2015/04/16 00:00:00+00,2015,2026/08/30 11:44:00+00,CLEAR,0,1,,C,ANGLE,2,LVMPD,2133516,,,,14.22795101
5638207,INJURY CRASH,2015/04/23 00:00:00+00,2015,2026/08/30 09:36:00+00,CLEAR,0,3,,C,REAR-END,2,LVMPD,2133728,,,,11.5248706
5638208,INJURY CRASH,2015/03/23 00:00:00+00,2015,2026/08/30 15:14:00+00,CLEAR,0,2,,C,HEAD-ON,2,LVMPD,2132678,,,,14.22795101
5638209,INJURY CRASH,2015/04/29 00:00:00+00,2015,2026/08/30 15:13:00+00,CLEAR,0,1,,B,ANGLE,2,LVMPD,2133929,,,,14.22795101
5638210,INJURY CRASH,2015/04/11 00:00:00+00,2015,2026/08/30 13:48:00+00,CLEAR,0,1,,C,ANGLE,2,LVMPD,2133342,,,,11.5248706
5638211,INJURY CRASH,2015/03/05 00:00:00+00,2015,2026/08/30 10:00:00+00,CLEAR,0,1,,C,ANGLE,3,LVMPD,2132059,,,,11.5248706
5638212,INJURY CRASH,2015/02/13 00:00:00+00,2015,2026/08/30 21:12:00+00,CLEAR,0,1,,U,NON-COLLISION,1,LVMPD,2122312,,,,29.22856507
5638213,PROPERTY DAMAGE ONLY,2015/04/10 00:00:00+00,2015,2026/08/30 08:49:00+00,CLEAR,0,0,PDO,,SIDESWIPE OVERTAKING,2,LVMPD,2133300,,,,14.22795101
5638214,INJURY CRASH,2015/03/24 00:00:00+00,2015,2026/08/30 15:30:00+00,CLEAR,0,1,,C,ANGLE,2,LVMPD,2132723,,,,19.86803553
5638215,INJURY CRASH,2015/07/08 00:00:00+00,2015,2026/08/30 18:45:00+00,CLOUDY,0,4,,C,REAR-END,3,LVMPD,2154508,,,,14.22795101
5638216,PROPERTY DAMAGE ONLY,2015/07/23 00:00:00+00,2015,2026/08/30 21:15:00+00,CLEAR,0,0,PDO,,BACKING,2,LVMPD,2154898,,,,14.22795101
5638217,INJURY CRASH,2015/03/01 00:00:00+00,2015,2026/08/30 19:51:00+00,CLOUDY: RAIN,0,2,,C,ANGLE,2,LVMPD,2131934,,,,17.10932924
5638218,INJURY CRASH,2015/03/19 00:00:00+00,2015,2026/08/30 17:58:00+00,CLEAR,0,3,,C,ANGLE,3,LVMPD,2132551,,,,29.22856507
5638219,PROPERTY DAMAGE ONLY,2015/04/29 00:00:00+00,2015,2026/08/30 13:29:00+00,CLEAR,0,0,PDO,,ANGLE,2,LVMPD,2133923,,,,11.5248706
5638220,PROPERTY DAMAGE ONLY,2015/03/19 00:00:00+00,2015,2026/08/30 12:05:00+00,CLEAR,0,0,PDO,,REAR-END,2,LVMPD,2132534,,,,29.22856507
5638221,INJURY CRASH,2015/04/24 00:00:00+00,2015,2026/08/30 12:06:00+00,CLEAR,0,3,,C,NON-COLLISION,2,LVMPD,2133759,,,,50.01708858
5638222,INJURY CRASH,2015/03/02 00:00:00+00,2015,2026/08/30 07:50:00+00,RAIN,0,1,,C,REAR-END,2,LVMPD,2131958,,,,17.10932924
5638223,INJURY CRASH,2015/03/14 00:00:00+00,2015,2026/08/30 19:21:00+00,CLEAR,0,1,,C,ANGLE,2,LVMPD,2132387,,,,29.22856507
